"Posição","Nome","Localidade","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","Unidade","Multiplicador"
"1.1","Série revisada","Maranguape",,,,,,,,,,,,"820090","865979","913070","944514","1059587.01","1140316.12","1259097.38","1368101.56","1495052.31","1534351.344","1504587.053","1649527.97","R$",1000
"1.1","Série revisada","Marco",,,,,,,,,,,,"149580","160880","196904","207680","248602.09","261287.31","272481.02","312088.97","321069.86","333498.531","346444.911","390968.799","R$",1000
"1.1","Série revisada","Martinópole",,,,,,,,,,,,"32796","37011","35652","49960","56520.13","62842.91","70371.78","77393.93","77763.82","80275.925","89836.068","96326.787","R$",1000
"1.1","Série revisada","Massapê",,,,,,,,,,,,"120691","137364","143290","165867","196022.55","207038.61","227628.04","255896.16","278606.97","295094.721","320552.391","378718.498","R$",1000
"1.1","Série revisada","Mauriti",,,,,,,,,,,,"187164","286138","249374","251363","316346.71","316619.36","336675.92","371101.99","411896.39","420911.802","474649.849","517495.879","R$",1000
"1.1","Série revisada","Meruoca",,,,,,,,,,,,"47779","56522","59196","66688","72440.60","79925.58","88143.84","96490.24","102224.62","110791.042","122358.626","129293.135","R$",1000
"1.1","Série revisada","Milagres",,,,,,,,,,,,"121563","142915","139412","160552","196253.01","192052.06","199219.46","222860.94","231515.35","240821.034","276828.181","287223.432","R$",1000
"1.1","Série revisada","Milhã",,,,,,,,,,,,"61613","81242","70552","75322","90978.52","90187.17","111637.46","126516.19","131294.50","140527.673","168455.855","195289.998","R$",1000
"1.1","Série revisada","Miraíma",,,,,,,,,,,,"46417","53170","58245","58155","67366.47","73043.07","77371.08","86789.67","86345.91","91734.047","100754.055","112599.052","R$",1000
"1.1","Série revisada","Missão Velha",,,,,,,,,,,,"165701","211897","197752","204972","297139.39","502538.88","330807.69","616401.69","490943.84","471495.362","458148.344","515936.722","R$",1000
"1.1","Série revisada","Mombaça",,,,,,,,,,,,"158758","182363","177151","205153","243906.07","258939.59","306144.33","318434.41","332608.45","342724.224","413851.312","446847.422","R$",1000
"1.1","Série revisada","Monsenhor Tabosa",,,,,,,,,,,,"62577","89662","75250","83661","100418.42","106163.87","121232.09","126565.75","130692.71","141196.964","149161.983","160699.121","R$",1000
"1.1","Série revisada","Morada Nova",,,,,,,,,,,,"409293","436830","479291","629723","639398.84","692612.52","753412.70","842432.91","962454.78","1009530.03","1167791.8","1276864.308","R$",1000
"1.1","Série revisada","Moraújo",,,,,,,,,,,,"29869","33520","34867","40079","67799.45","73750.54","60818.54","62690.06","63117.72","68676.857","72451.377","75574.687","R$",1000
"1.1","Série revisada","Morrinhos",,,,,,,,,,,,"75629","84264","87787","93610","113072.69","125801.20","134691.87","147899.31","140940.46","162041.57","174137.939","193204.02","R$",1000
"1.1","Série revisada","Mucambo",,,,,,,,,,,,"51447","62872","61778","68813","77238.59","83002.63","93881.01","96768.06","101369.25","107416.998","117328.614","131291.77","R$",1000
"1.1","Série revisada","Mulungu",,,,,,,,,,,,"73185","84793","74671","70613","77877.32","87880.75","84996.25","125253.85","118694.32","106654.053","125686.267","123801.068","R$",1000
"1.1","Série revisada","Nova Olinda",,,,,,,,,,,,"68469","81430","81422","96906","121364.21","123904.26","117840.93","141024.65","134092.44","145556.023","157788.541","163380.546","R$",1000
"1.1","Série revisada","Nova Russas",,,,,,,,,,,,"140458","161893","175885","197935","235283.84","247084.10","261716.88","272469.86","275666.88","299306.559","310869.354","336930.448","R$",1000
"1.1","Série revisada","Novo Oriente",,,,,,,,,,,,"97049","152331","116712","136549","170447.32","174653.56","176827.65","212351.37","204976.31","240485.976","256639.286","283185.355","R$",1000
"1.1","Série revisada","Ocara",,,,,,,,,,,,"81931","96180","94733","104261","136287.09","140712.07","150231.41","172265.40","180596.33","199013.086","231682.998","284835.712","R$",1000
"1.1","Série revisada","Orós",,,,,,,,,,,,"115554","125709","139393","144142","171995.19","170347.81","191486.63","181331.56","175539.48","184954.914","199601.629","218899.304","R$",1000
"1.1","Série revisada","Pacajus",,,,,,,,,,,,"602770","697290","721410","778970","929253.46","940023.24","1001708.21","1064432.20","1139914.54","1147751.283","1183737.949","1360519.759","R$",1000
"1.1","Série revisada","Pacatuba",,,,,,,,,,,,"591627","634292","693010","802513","972487.54","939811.04","949993.34","1035916.27","1162125.16","1024546.964","1099200.856","1235157.707","R$",1000
"1.1","Série revisada","Pacoti",,,,,,,,,,,,"82054","91720","78109","91982","114451.41","99316.46","124958.75","165596.56","109294.61","126746.007","136416.149","148366.251","R$",1000
"1.1","Série revisada","Pacujá",,,,,,,,,,,,"25582","27994","30061","32712","37115.56","40050.59","43465.11","47601.86","48001.68","51023.834","55347.947","59940.436","R$",1000
"1.1","Série revisada","Palhano",,,,,,,,,,,,"38507","43001","42963","52839","63153.77","62301.77","63794.51","76962.01","78773.80","89570.143","93528.873","98773.181","R$",1000
"1.1","Série revisada","Palmácia",,,,,,,,,,,,"60122","69294","61559","58579","89085.23","82822.61","83519.83","100907.28","93836.09","93878.652","118147.722","115123.989","R$",1000
"1.1","Série revisada","Paracuru",,,,,,,,,,,,"252872","295041","342303","370570","425148.73","405883.25","415285.87","475886.81","488941.06","505684.297","518432.269","555930.594","R$",1000
"1.1","Série revisada","Paraipaba",,,,,,,,,,,,"182868","202168","224777","265461","329698.08","355525.57","411001.71","357111.00","398908.05","439698.5","488483.668","535128.804","R$",1000
"1.1","Série revisada","Parambu",,,,,,,,,,,,"118592","142908","130924","149030","175491.84","198472.69","206119.49","204761.14","217507.36","240078.524","263486.098","288688.707","R$",1000
"1.1","Série revisada","Paramoti",,,,,,,,,,,,"47722","62051","51688","72581","66194.36","74644.58","78643.92","95831.91","96408.96","107547.343","110773.084","110908.416","R$",1000
"1.1","Série revisada","Pedra Branca",,,,,,,,,,,,"158422","193924","173651","204011","234579.61","249474.08","266683.28","281948.49","300170.25","332992.404","378258.168","389913.901","R$",1000
"1.1","Série revisada","Penaforte",,,,,,,,,,,,"50236","55887","56729","65997","83519.96","85837.48","89183.03","107363.32","213845.70","112794.57","116645.411","122161.945","R$",1000
"1.1","Série revisada","Pentecoste",,,,,,,,,,,,"200100","250938","389496","350736","314390.67","335341.94","367405.48","405038.92","412142.36","494670.095","486963.029","484760.119","R$",1000
"1.1","Série revisada","Pereiro",,,,,,,,,,,,"61962","73672","72845","83447","99646.66","153921.15","212943.48","315992.22","313125.20","371999.354","416484.769","560571.114","R$",1000
"1.1","Série revisada","Pindoretama",,,,,,,,,,,,"95129","110678","120177","135303","168286.82","184211.84","208293.51","221101.60","242221.59","245400.732","252608.76","274851.931","R$",1000
"1.1","Série revisada","Piquet Carneiro",,,,,,,,,,,,"59641","68466","68499","80284","97901.27","105632.72","116482.64","122366.69","125334.36","135196.153","151867.807","162091.883","R$",1000
"1.1","Série revisada","Pires Ferreira",,,,,,,,,,,,"35918","42326","39600","42663","45775.31","44277.72","49086.78","57106.08","59052.23","66429.648","79596.245","84230.034","R$",1000
"1.1","Série revisada","Poranga",,,,,,,,,,,,"37661","43399","45736","54130","62989.16","66631.04","69878.88","77866.47","78794.81","89197.839","98316.557","109401.553","R$",1000
"1.1","Série revisada","Porteiras",,,,,,,,,,,,"62748","73545","72262","81974","96956.04","106835.83","124356.39","136553.83","152388.64","157288.451","168096.102","186375.042","R$",1000
"1.1","Série revisada","Potengi",,,,,,,,,,,,"43904","52991","55033","66036","87152.31","80739.91","75663.46","94829.56","90208.27","85166.471","107591.101","110569.972","R$",1000
"1.1","Série revisada","Potiretama",,,,,,,,,,,,"25750","31225","28815","32100","39980.25","43412.44","49555.86","53937.28","57477.30","64353.489","87045.89","96815.605","R$",1000
"1.1","Série revisada","Quiterianópolis",,,,,,,,,,,,"71527","101908","102209","101601","139967.46","127407.27","141227.45","166934.22","151807.83","162593.401","171900.606","184720.064","R$",1000
"1.1","Série revisada","Quixadá",,,,,,,,,,,,"576334","625882","681760","733060","821399.49","894135.84","971817.67","937400.59","1043639.76","1005884.016","1051941.208","1109868.568","R$",1000
"1.1","Série revisada","Quixelô",,,,,,,,,,,,"73998","84630","84206","90249","108577.34","107327.16","120304.10","127330.58","121805.31","142565.665","169835.625","198819.976","R$",1000
"1.1","Série revisada","Quixeramobim",,,,,,,,,,,,"456018","526957","552448","603448","712912.97","746317.51","871204.77","1037971.16","1072295.32","1229511.677","1185653.935","1402460.802","R$",1000
