"Posição","Nome","Localidade","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","Unidade","Multiplicador"
"1","Taxa de mortalidade infantil","Monsenhor Tabosa","27.49","21.66","20.08","16.46","30.65","14.22","8.62","14.78","-","31.25","33.47","22.32","27.13","4.07","24.75","18.6","10.58","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Morada Nova","24.28","27.87","7.03","15.64","11.63","11.44","1.44","13.12","8.38","3.94","5.56","9.27","7.16","9.1","11.58","8.23","8.75","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Moraújo","-","34.19","22.56","35.4","17.86","9.8","23.62","25.42","15.75","9.52","10.64","18.35","32.52","7.19","8.93","9.9","17.54","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Morrinhos","27.61","24.52","26.18","11.87","19.34","36.23","25.4","15.72","10.56","8.2","23.9","6.35","18.52","21.88","21.02","3.05","9.09","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Mucambo","4.95","25.25","21.93","9.09","21.98","-","-","11.43","18.29","21.43","12.27","5.78","16.04","12.66","11.63","18.99","5.38","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Mulungu","21.13","7.41","25.32","12.05","6.94","7.81","-","29.85","20.27","-","15.15","15.27","8","31.5","7.04","6.62","8.62","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Nova Olinda","23.36","18.87","14.81","10.56","7.6","21.01","8.26","7.63","20.49","10.49","24.29","21.98","21.98","21.98","20","16.74","8.85","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Nova Russas","18.66","12.55","14.42","7.84","6.8","11.88","11.85","13.09","20.9","18.18","8.55","19.07","13.95","5.43","13.55","5.1","5.92","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Novo Oriente","18.74","17.24","14.74","23.2","8.93","16.53","17.33","25.07","21.39","8.22","16.57","24.73","15.15","7.92","3.04","8.4","9.62","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Ocara","14.88","8.55","10","9.43","2.93","16.29","14.04","14.49","13.47","18.18","7.27","20.98","9.9","3.5","10.95","3.68","36.73","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Orós","11.53","13.2","6.8","22.36","6.47","16.72","14.55","13.84","7.63","21.05","3.48","11.28","3.82","14.87","27.03","-","9.01","óbitos por mil nascidos vivos",1
"1","Taxa de mortalidade infantil","Pacajus","23.26","15.87","17.63","11.03","18.38","6.98","16.63","8.22","20.58","10.88","9.25","10.98","15.25","20.26","7.61","7.35","6.75","óbitos por mil nascidos vivos",1
